rownumber,respondentID,agency_code,activity_year,state,county,msa,census_tract,assessment_area_number,partial_county_indicator,split_county_indicator,population_classification,income_group,loan_indicator
103860,8,1,2017,24,510,12580.0,401.0,,N,N,L,9,Y
103861,8,1,2017,24,510,12580.0,1102.0,,N,N,L,11,Y
103862,8,1,2017,24,510,12580.0,201.0,,N,N,L,12,Y
103863,8,1,2017,24,510,12580.0,104.0,,N,N,L,13,Y
145770,24,1,2017,24,510,12580.0,2502.04,,N,N,L,2,Y
145771,24,1,2017,24,510,12580.0,702.0,,N,N,L,3,Y
145772,24,1,2017,24,510,12580.0,703.0,,N,N,L,3,Y
145773,24,1,2017,24,510,12580.0,1702.0,,N,N,L,3,Y
145774,24,1,2017,24,510,12580.0,2005.0,,N,N,L,3,Y
145775,24,1,2017,24,510,12580.0,2603.03,,N,N,L,3,Y
145776,24,1,2017,24,510,12580.0,2606.04,,N,N,L,3,Y
145777,24,1,2017,24,510,12580.0,601.0,,N,N,L,4,Y
145778,24,1,2017,24,510,12580.0,704.0,,N,N,L,4,Y
145779,24,1,2017,24,510,12580.0,904.0,,N,N,L,4,Y
145780,24,1,2017,24,510,12580.0,908.0,,N,N,L,4,Y
145781,24,1,2017,24,510,12580.0,1001.0,,N,N,L,4,Y
145782,24,1,2017,24,510,12580.0,1403.0,,N,N,L,4,Y
145783,24,1,2017,24,510,12580.0,1506.0,,N,N,L,4,Y
145784,24,1,2017,24,510,12580.0,1601.0,,N,N,L,4,Y
145785,24,1,2017,24,510,12580.0,1903.0,,N,N,L,4,Y
145786,24,1,2017,24,510,12580.0,2001.0,,N,N,L,4,Y
145787,24,1,2017,24,510,12580.0,2004.0,,N,N,L,4,Y
145788,24,1,2017,24,510,12580.0,2504.02,,N,N,L,4,Y
145789,24,1,2017,24,510,12580.0,2604.01,,N,N,L,4,Y
145790,24,1,2017,24,510,12580.0,2604.03,,N,N,L,4,Y
145791,24,1,2017,24,510,12580.0,2604.04,,N,N,L,4,Y
145792,24,1,2017,24,510,12580.0,2606.05,,N,N,L,4,Y
145793,24,1,2017,24,510,12580.0,2718.02,,N,N,L,4,Y
145794,24,1,2017,24,510,12580.0,1303.0,,N,N,L,5,Y
145795,24,1,2017,24,510,12580.0,2008.0,,N,N,L,5,Y
145796,24,1,2017,24,510,12580.0,2102.0,,N,N,L,5,Y
145797,24,1,2017,24,510,12580.0,2501.02,,N,N,L,5,Y
145798,24,1,2017,24,510,12580.0,2503.01,,N,N,L,5,Y
145799,24,1,2017,24,510,12580.0,2504.01,,N,N,L,5,Y
145800,24,1,2017,24,510,12580.0,2505.0,,N,N,L,5,Y
145801,24,1,2017,24,510,12580.0,2602.01,,N,N,L,5,Y
145802,24,1,2017,24,510,12580.0,2602.02,,N,N,L,5,Y
145803,24,1,2017,24,510,12580.0,2602.03,,N,N,L,5,Y
145804,24,1,2017,24,510,12580.0,901.0,,N,N,L,6,Y
145805,24,1,2017,24,510,12580.0,1205.0,,N,N,L,6,Y
145806,24,1,2017,24,510,12580.0,1504.0,,N,N,L,6,Y
145807,24,1,2017,24,510,12580.0,1505.0,,N,N,L,6,Y
145808,24,1,2017,24,510,12580.0,1511.0,,N,N,L,6,Y
145809,24,1,2017,24,510,12580.0,1608.02,,N,N,L,6,Y
145810,24,1,2017,24,510,12580.0,1701.0,,N,N,L,6,Y
145811,24,1,2017,24,510,12580.0,2006.0,,N,N,L,6,Y
145812,24,1,2017,24,510,12580.0,2101.0,,N,N,L,6,Y
145813,24,1,2017,24,510,12580.0,2301.0,,N,N,L,6,Y
145814,24,1,2017,24,510,12580.0,2502.05,,N,N,L,6,Y
145815,24,1,2017,24,510,12580.0,2502.06,,N,N,L,6,Y
145816,24,1,2017,24,510,12580.0,2503.03,,N,N,L,6,Y
145817,24,1,2017,24,510,12580.0,2603.02,,N,N,L,6,Y
145818,24,1,2017,24,510,12580.0,2604.02,,N,N,L,6,Y
145819,24,1,2017,24,510,12580.0,2608.0,,N,N,L,6,Y
145820,24,1,2017,24,510,12580.0,2610.0,,N,N,L,6,Y
145821,24,1,2017,24,510,12580.0,2707.02,,N,N,L,6,Y
145822,24,1,2017,24,510,12580.0,2708.01,,N,N,L,6,Y
145823,24,1,2017,24,510,12580.0,2708.05,,N,N,L,6,Y
145824,24,1,2017,24,510,12580.0,2718.01,,N,N,L,6,Y
145825,24,1,2017,24,510,12580.0,2720.07,,N,N,L,6,Y
145826,24,1,2017,24,510,12580.0,2801.01,,N,N,L,6,Y
145827,24,1,2017,24,510,12580.0,2801.02,,N,N,L,6,Y
145828,24,1,2017,24,510,12580.0,2803.02,,N,N,L,6,Y
145829,24,1,2017,24,510,12580.0,202.0,,N,N,L,7,Y
145830,24,1,2017,24,510,12580.0,602.0,,N,N,L,7,Y
145831,24,1,2017,24,510,12580.0,801.01,,N,N,L,7,Y
145832,24,1,2017,24,510,12580.0,903.0,,N,N,L,7,Y
145833,24,1,2017,24,510,12580.0,1206.0,,N,N,L,7,Y
145834,24,1,2017,24,510,12580.0,1207.0,,N,N,L,7,Y
145835,24,1,2017,24,510,12580.0,1308.04,,N,N,L,7,Y
145836,24,1,2017,24,510,12580.0,1509.0,,N,N,L,7,Y
145837,24,1,2017,24,510,12580.0,2601.01,,N,N,L,7,Y
145838,24,1,2017,24,510,12580.0,2605.01,,N,N,L,7,Y
145839,24,1,2017,24,510,12580.0,2708.03,,N,N,L,7,Y
145840,24,1,2017,24,510,12580.0,2802.0,,N,N,L,7,Y
145841,24,1,2017,24,510,12580.0,902.0,,N,N,L,8,Y
145842,24,1,2017,24,510,12580.0,2501.03,,N,N,L,8,Y
145843,24,1,2017,24,510,12580.0,2601.02,,N,N,L,8,Y
145844,24,1,2017,24,510,12580.0,2701.01,,N,N,L,8,Y
145845,24,1,2017,24,510,12580.0,2705.02,,N,N,L,8,Y
145846,24,1,2017,24,510,12580.0,2707.03,,N,N,L,8,Y
145847,24,1,2017,24,510,12580.0,2709.01,,N,N,L,8,Y
145848,24,1,2017,24,510,12580.0,2709.02,,N,N,L,8,Y
145849,24,1,2017,24,510,12580.0,2720.04,,N,N,L,8,Y
145850,24,1,2017,24,510,12580.0,2720.05,,N,N,L,8,Y
145851,24,1,2017,24,510,12580.0,2804.01,,N,N,L,8,Y
145852,24,1,2017,24,510,12580.0,401.0,,N,N,L,9,Y
145853,24,1,2017,24,510,12580.0,1101.0,,N,N,L,9,Y
145854,24,1,2017,24,510,12580.0,1306.0,,N,N,L,9,Y
145855,24,1,2017,24,510,12580.0,1308.06,,N,N,L,9,Y
