rownumber,activity_year,loan_type,action_taken_type,state,county,msa,census_tract,split_county_indicator,population_classification,income_group_total,nLoans1,amtLoans1,nLoans100k,amtLoans100k,nLoans250k,amtLoans250k,nLoansToSmallest,amtLoansToSmallest
5122,2017,4,1,24,510,12580.0,101.0,N,L,13,73,1047000,0,0,0,0,43,621000
5123,2017,4,1,24,510,12580.0,103.0,N,L,13,36,412000,1,250000,2,1327000,30,1167000
5124,2017,4,1,24,510,12580.0,104.0,N,L,13,125,2127000,5,969000,1,800000,65,2168000
5125,2017,4,1,24,510,12580.0,203.0,N,L,13,190,2404000,8,1330000,7,5169000,100,3276000
5126,2017,4,1,24,510,12580.0,1202.02,N,L,13,39,479000,0,0,1,1000000,25,290000
5127,2017,4,1,24,510,12580.0,1401.0,N,L,13,52,521000,1,165000,0,0,35,400000
5128,2017,4,1,24,510,12580.0,2201.0,N,L,13,142,2127000,7,1084000,7,3775000,91,2456000
5129,2017,4,1,24,510,12580.0,2302.0,N,L,13,86,1214000,3,448000,6,3015000,61,2096000
5130,2017,4,1,24,510,12580.0,2303.0,N,L,13,38,753000,1,250000,0,0,16,554000
5131,2017,4,1,24,510,12580.0,2401.0,N,L,13,89,1065000,1,200000,2,706000,44,452000
5132,2017,4,1,24,510,12580.0,2402.0,N,L,13,63,937000,0,0,2,2000000,38,1525000
5133,2017,4,1,24,510,12580.0,2403.0,N,L,13,42,362000,0,0,3,1772000,28,313000
5134,2017,4,1,24,510,12580.0,2611.0,N,L,13,64,853000,1,130000,0,0,48,681000
5135,2017,4,1,24,510,12580.0,2711.02,N,L,13,27,204000,0,0,0,0,15,143000
5136,2017,4,1,24,510,12580.0,2712.0,N,L,13,116,1450000,1,250000,1,505000,62,1306000
5137,2017,4,1,24,510,12580.0,2713.0,N,L,13,71,756000,0,0,2,1000000,40,708000
5138,2017,4,1,24,510,12580.0,2714.0,N,L,13,61,969000,1,150000,1,374000,32,969000
5139,2017,4,1,24,510,12580.0,2715.01,N,L,13,151,2310000,5,929000,2,641000,90,2110000
5140,2017,4,1,24,510,12580.0,2715.03,N,L,13,39,897000,0,0,0,0,15,384000
5142,2017,4,1,24,510,12580.0,402.0,N,L,14,28,410000,0,0,1,750000,12,121000
5143,2017,4,1,24,510,12580.0,1402.0,N,L,14,20,140000,0,0,0,0,15,121000
5144,2017,4,1,24,510,12580.0,1803.0,N,L,14,27,534000,1,130000,0,0,10,87000
5145,2017,4,1,24,510,12580.0,2506.0,N,L,14,17,218000,3,608000,8,4675000,3,30000
4935,2017,4,6,24,510,12580.0,808.0,N,L,2,1,10000,0,0,0,0,0,0
4936,2017,4,6,24,510,12580.0,1801.0,N,L,2,1,99000,0,0,0,0,0,0
4937,2017,4,6,24,510,12580.0,2502.04,N,L,2,0,0,0,0,0,0,0,0
4938,2017,4,6,24,510,12580.0,2805.0,N,L,2,2,41000,0,0,0,0,0,0
4940,2017,4,6,24,510,12580.0,301.0,N,L,3,0,0,0,0,0,0,0,0
4941,2017,4,6,24,510,12580.0,702.0,N,L,3,0,0,0,0,0,0,0,0
4942,2017,4,6,24,510,12580.0,703.0,N,L,3,0,0,0,0,0,0,0,0
4943,2017,4,6,24,510,12580.0,804.0,N,L,3,0,0,0,0,0,0,0,0
4944,2017,4,6,24,510,12580.0,807.0,N,L,3,0,0,0,0,0,0,0,0
4945,2017,4,6,24,510,12580.0,1501.0,N,L,3,1,16000,0,0,0,0,0,0
4946,2017,4,6,24,510,12580.0,1702.0,N,L,3,1,41000,0,0,0,0,0,0
4947,2017,4,6,24,510,12580.0,2003.0,N,L,3,0,0,0,0,0,0,0,0
4948,2017,4,6,24,510,12580.0,2005.0,N,L,3,0,0,0,0,0,0,0,0
4949,2017,4,6,24,510,12580.0,2603.03,N,L,3,1,34000,0,0,0,0,0,0
4950,2017,4,6,24,510,12580.0,2606.04,N,L,3,0,0,0,0,0,0,0,0
4952,2017,4,6,24,510,12580.0,601.0,N,L,4,0,0,0,0,0,0,0,0
4953,2017,4,6,24,510,12580.0,704.0,N,L,4,0,0,0,0,0,0,0,0
4954,2017,4,6,24,510,12580.0,805.0,N,L,4,0,0,0,0,0,0,0,0
4955,2017,4,6,24,510,12580.0,806.0,N,L,4,0,0,0,0,0,0,0,0
4956,2017,4,6,24,510,12580.0,904.0,N,L,4,1,3000,0,0,0,0,0,0
4957,2017,4,6,24,510,12580.0,908.0,N,L,4,2,40000,0,0,0,0,0,0
4958,2017,4,6,24,510,12580.0,909.0,N,L,4,0,0,0,0,0,0,0,0
4959,2017,4,6,24,510,12580.0,1001.0,N,L,4,0,0,0,0,0,0,0,0
4960,2017,4,6,24,510,12580.0,1002.0,N,L,4,0,0,0,0,0,0,0,0
4961,2017,4,6,24,510,12580.0,1204.0,N,L,4,0,0,0,0,0,0,0,0
4962,2017,4,6,24,510,12580.0,1403.0,N,L,4,3,11000,0,0,0,0,0,0
4963,2017,4,6,24,510,12580.0,1506.0,N,L,4,0,0,0,0,0,0,0,0
4964,2017,4,6,24,510,12580.0,1512.0,N,L,4,0,0,0,0,0,0,0,0
4965,2017,4,6,24,510,12580.0,1513.0,N,L,4,2,82000,0,0,0,0,0,0
4966,2017,4,6,24,510,12580.0,1601.0,N,L,4,0,0,0,0,0,0,0,0
4967,2017,4,6,24,510,12580.0,1802.0,N,L,4,0,0,0,0,0,0,0,0
4968,2017,4,6,24,510,12580.0,1901.0,N,L,4,0,0,0,0,0,0,0,0
4969,2017,4,6,24,510,12580.0,1903.0,N,L,4,0,0,0,0,0,0,0,0
4970,2017,4,6,24,510,12580.0,2001.0,N,L,4,0,0,0,0,0,0,0,0
4971,2017,4,6,24,510,12580.0,2004.0,N,L,4,2,51000,0,0,0,0,0,0
4972,2017,4,6,24,510,12580.0,2007.02,N,L,4,0,0,0,0,0,0,0,0
4973,2017,4,6,24,510,12580.0,2502.07,N,L,4,1,59000,0,0,1,500000,0,0
4974,2017,4,6,24,510,12580.0,2504.02,N,L,4,3,49000,0,0,0,0,0,0
4975,2017,4,6,24,510,12580.0,2604.01,N,L,4,3,52000,0,0,0,0,0,0
4976,2017,4,6,24,510,12580.0,2604.03,N,L,4,0,0,0,0,0,0,0,0
4977,2017,4,6,24,510,12580.0,2604.04,N,L,4,5,141000,0,0,1,362000,0,0
4978,2017,4,6,24,510,12580.0,2606.05,N,L,4,8,236000,0,0,0,0,0,0
4979,2017,4,6,24,510,12580.0,2716.0,N,L,4,1,32000,0,0,0,0,0,0
4980,2017,4,6,24,510,12580.0,2718.02,N,L,4,0,0,0,0,0,0,0,0
4982,2017,4,6,24,510,12580.0,701.0,N,L,5,0,0,0,0,0,0,0,0
4983,2017,4,6,24,510,12580.0,802.0,N,L,5,3,54000,0,0,0,0,0,0
4984,2017,4,6,24,510,12580.0,803.01,N,L,5,0,0,0,0,0,0,0,0
4985,2017,4,6,24,510,12580.0,803.02,N,L,5,0,0,0,0,0,0,0,0
4986,2017,4,6,24,510,12580.0,905.0,N,L,5,0,0,0,0,0,0,0,0
4987,2017,4,6,24,510,12580.0,907.0,N,L,5,0,0,0,0,0,0,0,0
4988,2017,4,6,24,510,12580.0,1203.0,N,L,5,2,21000,0,0,0,0,0,0
4989,2017,4,6,24,510,12580.0,1301.0,N,L,5,0,0,0,0,0,0,0,0
4990,2017,4,6,24,510,12580.0,1302.0,N,L,5,0,0,0,0,0,0,0,0
4991,2017,4,6,24,510,12580.0,1303.0,N,L,5,0,0,0,0,1,365000,0,0
4992,2017,4,6,24,510,12580.0,1304.0,N,L,5,1,15000,0,0,0,0,0,0
4993,2017,4,6,24,510,12580.0,1502.0,N,L,5,1,15000,0,0,0,0,0,0
4994,2017,4,6,24,510,12580.0,1508.0,N,L,5,0,0,0,0,0,0,0,0
4995,2017,4,6,24,510,12580.0,1510.0,N,L,5,2,5000,0,0,0,0,0,0
4996,2017,4,6,24,510,12580.0,1602.0,N,L,5,0,0,0,0,0,0,0,0
4997,2017,4,6,24,510,12580.0,1603.0,N,L,5,0,0,0,0,0,0,0,0
4998,2017,4,6,24,510,12580.0,1604.0,N,L,5,0,0,0,0,0,0,0,0
4999,2017,4,6,24,510,12580.0,1605.0,N,L,5,0,0,0,0,0,0,0,0
5000,2017,4,6,24,510,12580.0,1606.0,N,L,5,0,0,0,0,0,0,0,0
5001,2017,4,6,24,510,12580.0,1607.0,N,L,5,0,0,0,0,0,0,0,0
