rownumber,activity_year,loan_type,action_taken_type,state,county,msa,respondentID,agency_code,nLenders,nLoans,amtLoans,nLoansToSmallest,amtLoansToSmallest
6794,2016,4,1,24.0,510.0,12580.0,12517,3,,1,550000,1,550000
6795,2016,4,1,24.0,510.0,12580.0,11063,3,,3,375000,1,250000
6796,2016,4,1,24.0,510.0,12580.0,209,1,,2,22000,0,0
6797,2016,4,1,24.0,510.0,12580.0,249,1,,35,8468000,13,2621000
6798,2016,4,1,24.0,510.0,12580.0,59017,3,,1,90000,1,90000
6799,2016,4,1,24.0,510.0,12580.0,24891,1,,1,358000,0,0
6800,2016,4,1,24.0,510.0,12580.0,24170,3,,1,383000,1,383000
6801,2016,4,1,24.0,510.0,12580.0,57776,3,,21,5931000,15,3829000
6802,2016,4,1,24.0,510.0,12580.0,24522,1,,1,5000,0,0
6803,2016,4,1,24.0,510.0,12580.0,715685,1,,7,89000,0,0
6804,2016,4,1,24.0,510.0,12580.0,8,1,,24,1593000,0,0
6805,2016,4,1,24.0,510.0,12580.0,1917301,2,,8,638000,0,0
6806,2016,4,1,24.0,510.0,12580.0,501105,2,,219,55036000,93,14381000
6807,2016,4,1,24.0,510.0,12580.0,705902,1,,64,1587000,0,0
6808,2016,4,1,24.0,510.0,12580.0,708146,1,,1,285000,0,0
6809,2016,4,1,24.0,510.0,12580.0,28178,3,,2,679000,1,510000
6810,2016,4,1,24.0,510.0,12580.0,27599,3,,4,2098000,3,1948000
6811,2016,4,1,24.0,510.0,12580.0,8846,1,,1,800000,0,0
6812,2016,4,1,24.0,510.0,12580.0,24045,3,,1,125000,0,0
6813,2016,4,1,24.0,510.0,12580.0,35583,3,,4,56000,4,56000
6814,2016,4,1,24.0,510.0,12580.0,637451,2,,1,50000,0,0
6815,2016,4,1,24.0,510.0,12580.0,1316,1,,620,43213000,328,9345000
6816,2016,4,1,24.0,510.0,12580.0,33539,3,,1,597000,0,0
6817,2016,4,1,24.0,510.0,12580.0,7714,3,,4,114000,0,0
6818,2016,4,1,24.0,510.0,12580.0,24914,1,,1,160000,0,0
