census_tract,activity_year,income_group_code,nLoans1,amtLoans1,nLoans100k,amtLoans100k,nLoans250k,amtLoans250k,nLoansToSmallest,amtLoansToSmallest,nLoansTotal,amtLoansTotal
2708.05,2016,8,36,"$316,000 ",1,"$182,000 ",4,"$2,529,000 ",20,"$825,000 ",41,"$3,027,000 "
2709.01,2016,7,11,"$65,000 ",0,$0 ,0,$0 ,8,"$52,000 ",11,"$65,000 "
2709.02,2016,7,9,"$36,000 ",0,$0 ,0,$0 ,8,"$33,000 ",9,"$36,000 "
2709.03,2016,8,25,"$124,000 ",0,$0 ,0,$0 ,16,"$108,000 ",25,"$124,000 "
2710.01,2016,5,5,"$24,000 ",0,$0 ,0,$0 ,3,"$21,000 ",5,"$24,000 "
2710.02,2016,6,18,"$118,000 ",0,$0 ,0,$0 ,14,"$107,000 ",18,"$118,000 "
2711.01,2016,7,15,"$95,000 ",0,$0 ,0,$0 ,8,"$66,000 ",15,"$95,000 "
2711.02,2016,13,31,"$361,000 ",0,$0 ,0,$0 ,15,"$202,000 ",31,"$361,000 "
2712,2016,13,109,"$1,351,000 ",2,"$262,000 ",3,"$1,983,000 ",65,"$769,000 ",114,"$3,596,000 "
2713,2016,13,61,"$934,000 ",2,"$365,000 ",2,"$1,000,000 ",33,"$1,048,000 ",65,"$2,299,000 "
2714,2016,13,84,"$1,513,000 ",3,"$515,000 ",0,$0 ,43,"$978,000 ",87,"$2,028,000 "
2715.01,2016,13,200,"$2,953,000 ",4,"$772,000 ",4,"$1,636,000 ",123,"$3,524,000 ",208,"$5,361,000 "
2715.03,2016,13,44,"$785,000 ",2,"$338,000 ",0,$0 ,17,"$319,000 ",46,"$1,123,000 "
2716,2016,6,22,"$107,000 ",0,$0 ,0,$0 ,16,"$89,000 ",22,"$107,000 "
2717,2016,6,35,"$445,000 ",0,$0 ,0,$0 ,24,"$206,000 ",35,"$445,000 "
2718.01,2016,5,20,"$217,000 ",1,"$150,000 ",1,"$515,000 ",12,"$594,000 ",22,"$882,000 "
2718.02,2016,5,18,"$166,000 ",0,$0 ,0,$0 ,10,"$81,000 ",18,"$166,000 "
2719,2016,8,51,"$571,000 ",0,$0 ,4,"$2,869,000 ",38,"$2,194,000 ",55,"$3,440,000 "
2720.03,2016,10,184,"$1,826,000 ",0,$0 ,0,$0 ,135,"$1,258,000 ",184,"$1,826,000 "
2720.04,2016,7,123,"$1,162,000 ",1,"$225,000 ",0,$0 ,78,"$855,000 ",124,"$1,387,000 "
2720.05,2016,7,137,"$1,384,000 ",1,"$250,000 ",1,"$273,000 ",93,"$788,000 ",139,"$1,907,000 "
2720.06,2016,4,93,"$962,000 ",0,$0 ,0,$0 ,54,"$598,000 ",93,"$962,000 "
2720.07,2016,6,96,"$883,000 ",4,"$597,000 ",1,"$750,000 ",70,"$865,000 ",101,"$2,230,000 "
2801.01,2016,7,94,"$1,295,000 ",5,"$945,000 ",1,"$488,000 ",50,"$1,254,000 ",100,"$2,728,000 "
2801.02,2016,5,72,"$628,000 ",1,"$200,000 ",3,"$2,019,000 ",47,"$583,000 ",76,"$2,847,000 "
2802,2016,8,33,"$171,000 ",0,$0 ,1,"$384,000 ",30,"$539,000 ",34,"$555,000 "
2803.01,2016,6,22,"$369,000 ",1,"$200,000 ",0,$0 ,12,"$60,000 ",23,"$569,000 "
2803.02,2016,6,20,"$222,000 ",1,"$131,000 ",0,$0 ,12,"$79,000 ",21,"$353,000 "
2804.01,2016,8,39,"$229,000 ",0,$0 ,0,$0 ,22,"$172,000 ",39,"$229,000 "
2804.02,2016,7,6,"$182,000 ",0,$0 ,0,$0 ,5,"$96,000 ",6,"$182,000 "
2804.03,2016,8,26,"$296,000 ",1,"$150,000 ",0,$0 ,14,"$251,000 ",27,"$446,000 "
2804.04,2016,6,6,"$34,000 ",0,$0 ,0,$0 ,5,"$30,000 ",6,"$34,000 "
2805,2016,2,26,"$230,000 ",2,"$359,000 ",0,$0 ,11,"$396,000 ",28,"$589,000 "
101,2015,10,67,"$907,000 ",0,$0 ,4,"$2,266,000 ",33,"$1,203,000 ",71,"$3,173,000 "
102,2015,9,26,"$258,000 ",0,$0 ,1,"$350,000 ",18,"$155,000 ",27,"$608,000 "
103,2015,13,41,"$500,000 ",1,"$200,000 ",0,$0 ,16,"$147,000 ",42,"$700,000 "
104,2015,13,113,"$1,766,000 ",1,"$250,000 ",11,"$6,534,000 ",63,"$5,351,000 ",125,"$8,550,000 "
105,2015,13,15,"$195,000 ",1,"$250,000 ",0,$0 ,11,"$154,000 ",16,"$445,000 "
201,2015,10,30,"$413,000 ",0,$0 ,0,$0 ,19,"$303,000 ",30,"$413,000 "
202,2015,7,40,"$373,000 ",0,$0 ,0,$0 ,30,"$293,000 ",40,"$373,000 "
